node_index,x,y,z
278,0.6842105,0.9473474,0
279,0.6842105,0.9998142,0
280,0.736842,0.0001856505,0
281,0.7368421,0.05265261,0
282,0.7368421,0.1052635,0
283,0.7368421,0.1578947,0
284,0.7368421,0.2105263,0
285,0.7368421,0.2631579,0
286,0.7368421,0.3157895,0
287,0.7368421,0.368421,0
288,0.7368421,0.4210526,0
289,0.7368421,0.4736842,0
290,0.7368421,0.5263158,0
291,0.7368421,0.5789474,0
292,0.7368421,0.6315789,0
293,0.7368421,0.6842105,0
294,0.7368421,0.7368421,0
295,0.7368421,0.7894737,0
296,0.7368421,0.8421053,0
297,0.7368421,0.8947365,0
298,0.7368421,0.9473474,0
299,0.736842,0.9998143,0
300,0.7894734,0.000185352,0
301,0.7894737,0.05265256,0
302,0.7894737,0.1052635,0
303,0.7894737,0.1578947,0
304,0.7894737,0.2105263,0
305,0.7894737,0.2631579,0
306,0.7894737,0.3157895,0
307,0.7894737,0.368421,0
308,0.7894737,0.4210526,0
309,0.7894737,0.4736842,0
310,0.7894737,0.5263158,0
311,0.7894737,0.5789474,0
312,0.7894737,0.6315789,0
313,0.7894737,0.6842105,0
314,0.7894737,0.7368421,0
315,0.7894737,0.7894737,0
316,0.7894737,0.8421053,0
317,0.7894737,0.8947365,0
318,0.7894737,0.9473475,0
319,0.7894734,0.9998146,0
320,0.842104,0.0001842422,0
321,0.8421051,0.05265245,0
322,0.8421053,0.1052635,0
323,0.8421053,0.1578947,0
324,0.8421053,0.2105263,0
325,0.8421053,0.2631579,0
326,0.8421053,0.3157895,0
327,0.8421053,0.368421,0
328,0.8421053,0.4210526,0
329,0.8421053,0.4736842,0
330,0.8421053,0.5263158,0
331,0.8421053,0.5789474,0
332,0.8421053,0.6315789,0
333,0.8421053,0.6842105,0
334,0.8421053,0.7368421,0
335,0.8421053,0.7894737,0
336,0.8421053,0.8421053,0
337,0.8421053,0.8947365,0
338,0.8421051,0.9473476,0
339,0.842104,0.9998158,0
340,0.8947312,0.0001838091,0
341,0.8947362,0.05265184,0
342,0.8947365,0.1052634,0
343,0.8947365,0.1578947,0
344,0.8947365,0.2105263,0
345,0.8947365,0.2631579,0
346,0.8947365,0.3157895,0
347,0.8947365,0.368421,0
348,0.8947365,0.4210526,0
349,0.8947365,0.4736842,0
350,0.8947365,0.5263158,0
351,0.8947365,0.5789474,0
352,0.8947365,0.6315789,0
353,0.8947365,0.6842105,0
354,0.8947365,0.7368421,0
355,0.8947365,0.7894737,0
356,0.8947365,0.8421053,0
357,0.8947365,0.8947365,0
358,0.8947362,0.9473482,0
359,0.8947312,0.9998162,0
360,0.9473534,0.0001706614,0
361,0.9473517,0.05264831,0
362,0.9473482,0.1052638,0
363,0.9473476,0.1578949,0
364,0.9473475,0.2105264,0
365,0.9473474,0.2631579,0
366,0.9473474,0.3157895,0
367,0.9473474,0.368421,0
368,0.9473474,0.4210526,0
369,0.9473473,0.4736842,0
370,0.9473473,0.5263158,0
371,0.9473474,0.5789474,0
372,0.9473474,0.6315789,0
373,0.9473474,0.6842105,0
374,0.9473474,0.7368421,0
375,0.9473475,0.7894737,0
376,0.9473476,0.8421051,0
377,0.9473482,0.8947362,0
378,0.9473517,0.9473517,0
379,0.9473534,0.9998294,0
380,0.9998822,0.0001178145,0
381,0.9998294,0.05264667,0
382,0.9998162,0.1052688,0
383,0.9998158,0.157896,0
384,0.9998146,0.2105266,0
385,0.9998143,0.263158,0
386,0.9998142,0.3157895,0
387,0.9998141,0.368421,0
388,0.999814,0.4210526,0
389,0.999814,0.4736842,0
390,0.999814,0.5263158,0
391,0.999814,0.5789474,0
392,0.9998141,0.6315789,0
393,0.9998142,0.6842105,0
394,0.9998143,0.736842,0
395,0.9998146,0.7894734,0
396,0.9998158,0.842104,0
397,0.9998162,0.8947312,0
398,0.9998294,0.9473534,0
399,0.9998822,0.9998822,0
